model,RMSE,MAE,MASE,MAPE(%),QLIKE
a2c,0.013742,0.009073,1.025981,4.910467,-0.911136
ppo,0.013743,0.009174,1.042452,4.971078,-0.911134
naive,0.013814,0.008869,1.000000,4.808624,-0.911134
ols,0.013905,0.009729,1.132804,5.380585,-0.911123
ar1,0.018727,0.014394,1.682098,8.064269,-0.907818
lstm,0.031426,0.026440,3.030496,13.595911,-0.893253
